defect n.缺点；瑕疵
residential adj.居住的；住宅的
conventional adj.常规的
subsidy n.补助⾦；津贴
tub n.桶；盆；浴缸
giant n.巨⼈adj.巨⼤的
furnace n.⽕炉
initial adj.开始的n.⾸字⺟
incentive n.刺激；⿎励
sacrifice n.牺牲；祭品；献祭
convert v.转变
portion n.⼀部分v.分配
lounge n.休息厅v.闲逛
cozy adj.舒适的；亲切友好的
scratch v.抓；刮擦n.抓痕
relieve v.使轻松；减轻
precaution n.预防；警惕
permanent adj.永久的；固定的
exaggerate v.夸⼤；夸张
remedy n.补救⽅法v.补救
defy v.违抗；藐视
routine n.例⾏公事adj.例⾏的
fake n.假货；骗⼦adj.假的
instruct v.指示；教育
occasional adj.偶尔的
challenge n.|v.挑战
equip v.装备；使有准备
initiate v.开始实施；发起
occupation n.职业；消遣
suspect v.推测n.可疑分⼦
patience n.耐⼼
endure v.忍受；忍耐
gap n.缺⼝；差距；不⾜
cheat v.欺骗n.欺骗；骗⼦
abundant adj.⼤量的
gaze v.|n.注视
ideal adj.理想的n.理想
jealous adj.妒忌的；精⼼守护的
payment n.⽀付的款项；⽀付
revolve v.旋转
sanction v.|n.批准v.处罚
respectively adv.分别地
satisfactory adj.令⼈满意的
skeptical adj.表示怀疑的
boost n.提⾼；推动
household n.家庭
appliance n.电器；应⽤
generate v.产⽣；引发
drain v.排⾛n.下⽔道；排⽔管
integral adj.构成整体所必需的
bankrupt adj.破产的n.破产者
compact adj.紧凑的n.合同
immense adj.⼴⼤的；巨⼤的
consume v.消耗；花费
sensitive adj.敏感的
haunt v.常出没于n.常去的地⽅
vanish v.消失；不复存在
complex adj.复合的；复杂的
freight n.货物v.运送
insulate v.使绝缘；隔离
implement v.使⽣效；实施
electrical adj.电的
efficient adj.效率⾼的
derive v.得到
keen adj.热衷的；着迷的
casual adj.⻢⻁的；⾮正式的
acquaintance n.熟⼈；认识
embarrass v.使尴尬
inferior adj.劣等的；下级的n.下级
parade n.游⾏；检阅
donation n.捐赠
vague adj.含糊的；模糊的
construct v.建筑n.建筑物
expose v.暴露
betray v.背叛；泄露
embrace v.拥抱；欣然接受
sample n.样品
upset v.使⼼烦意乱；打乱adj.沮丧的
decisive adj.决定性的
expansive adj.⼴阔的
conscience n.良⼼
exemplify v.是...的典型
sexual adj.性的；性别的
manufacture v.捏造n.制造品
peculiar adj.奇怪的
means n.⽅法
output n.产量；输出
scope n.范围；眼界
reward n.报答；奖赏；酬⾦
nurture n.养育；培育
passion n.激情；酷爱
quest n.寻求；探索
refrain vi.节制；抑制
concern n.关⼼v.使担⼼
collection n.收藏品；收集
correspondence n.通信；符合
sufficient adj.⾜够的；充分的
illustrate v.说明
abandon v.放弃；抛弃
miserable adj.痛苦的
trap n.陷阱；困境v.使中圈套
enclose v.围住
amaze v.使惊奇
unfold v.展开；显露
prime adj.⾸要的；最好的
shift v.转移n.转变
disrupt v.使中断；扰乱
graduate v.毕业n.毕业⽣
trend n.趋势；时尚
critical adj.批评的；严重的
adequate adj.充⾜的；合格的
dread v.|n.担忧；畏惧
artificial adj.⼈造的；假的
inflation n.通货膨胀；膨胀
adjust v.调整；调节；适应
stem n.茎；词⼲v.阻⽌
misery n.痛苦；不幸
multiply v.增加；乘
liberate v.解放；释出
dip n.浸；蘸v.落下
segment n.部分；瓣v.分割
setback n.挫折；退步
imaginative adj.富有想象⼒的
portray v.描绘；表现；扮演
feast n.盛宴；节⽇v.宴饮
erase v.擦掉；抹去；清除
administer v.管理；实施
assurance n.信⼼；保证
scrutiny n.详细检查；仔细观察
gleam v.|n.闪烁；流露
surf v.上⽹浏览信息n.激浪
generous adj.慷慨的；⼤量的
optimistic adj.乐观的
impress v.使敬佩
sightseeing n.观光
champagne n.⾹槟酒
entertain v.款待；给...娱乐
steer v.驾驶；引导；掌
frustrate v.挫败；使受挫折
definition n.定义；清晰
attain v.达到；获得
statement n.声明；阐述
exceed v.超过
originate v.起源于；创造
reservation n.预订；保留
obligation n.义务；责任
resolution n.决⼼；解决
discount n.折扣v.打折
comprehensive adj.全⾯的
anyhow adv.⽆论如何
instant adj.⽴即的n.瞬间
misfortune n.不幸；逆境
extravagant adj.奢侈的
cling v.黏着；依恋；坚持
complaint n.抱怨；投诉
skim v.浏览；略读
dim adj.昏暗的v.变暗淡
collapse n.倒坍；崩溃
federal adj.联邦制的
aboard adv.在上
devise v.发明；设计
venture n.⻛险投资v.冒险
clip n.夹⼦；回形针v.夹住
stroke n.中⻛；笔画；击球
combat n.战⽃；⽃争v.⽃争
revenue n.收⼊；税收
apart adv.分开adj.分离的
repay v.归还；报答
bound adj.⼀定的；受约束的
embark v.从事；上船
corrupt adj.腐败的v.使堕落
recipe n.烹饪法；⻝谱；秘诀
disclose v.透露
classic adj.经典的n.经典作品
provision n.供应；条款
industrialize v.⼯业化
proposal n.提议；求婚
flourish v.繁荣；兴旺；挥动
coordinate v.搭配adj.同等的
existence n.存在；⽣存
deem v.认为；相信
merely adv.仅仅；只不过
incredible adj.不可信的；难以置信的
conduct v.进⾏；指挥n.举⽌
exotic adj.奇异的；异国的
orbit n.轨道v.绕道⽽⾏
fare n.票价
conclude v.推断出；总结
tremendous adj.巨⼤的
institution n.制度；习俗
rare adj.稀有的；珍贵的
compensation n.赔偿
abroad adv.在国外
lag v.⾛得慢；滞后n.间隔
aware adj.意识到的
grocery n.⻝品杂货店；杂货
incident n.事件；⼩事情
concentrate v.集中；浓缩
immune adj.免疫的；不受影响的
susceptible adj.易受影响的
infect v.传染；影响
evidence n.证据
regulate v.管理；调节
advanced adj.先进的；年迈的
effective adj.有效的；实际的
attitude n.态度；看法
grant n.拨款v.授予；同意
access n.⼊⼝v.到达；进⼊
indifferent adj.漠不关⼼的
crush v.挤压；压坏；镇压
elementary adj.基本的；初级的
primary adj.⾸要的；最初的
curriculum n.课程
capable adj.有能⼒的
outstanding adj.杰出的；显著的
statesman n.政治家
harsh adj.严厉的；刺⽿的
representative n.代表adj.典型的
automation n.⾃动化
application n.申请；应⽤
personality n.个性；性格
tutor n.导师；家庭教师
formula n.⽅案；公式；配⽅
spit v.吐唾沫；吐出n.唾液
relate v.有关联；涉及
extreme adj.极端的n.极端
abnormal adj.不正常的
electrician n.电⼯
fury n.暴怒；猛烈
overhear v.⽆意中听到；偷听到
paradise n.天堂；乐园
muscular adj.肌⾁的；强壮的
usage n.使⽤；⽤法；惯⽤法
saturate v.使浸透；饱和
acknowledge v.承认；接受
imaginary adj.想象中的；虚构的
approve v.赞成；称许
verge n.边缘；界限；范围
reliable adj.可信赖的；可靠的
accommodation n.住处；住宿
temporary adj.暂时的；短暂的
participant n.参与者
likelihood n.可能；可能性
register n.登记本v.登记
affect v.影响；使感动
appetite n.胃⼝；⻝欲
suppress v.镇压；抑制
destination n.⽬的地
skip v.跳；略过n.蹦跳
intersection n.交叉；⼗字路⼝
deficit n.⾚字；亏损
consistent adj.始终如⼀的
reveal v.揭露；展现
disorder n.混乱；失调
institute n.协会v.建⽴
alter v.改变
disguise v.掩盖n.伪装
instantaneous adj.瞬间的
offensive adj.冒犯的n.进攻
twist v.捻；搓；拧n.弯曲
desperate adj.不顾⼀切的；绝望的
understanding n.谅解；理解
neglect v.|n.忽略；疏忽
interrupt v.打断；中⽌
timely adj.及时的
determination n.决⼼；确定
therapy n.治疗；疗法
handicap n.缺陷；障碍
glide v.|n.滑⾏；滑翔
invariably adv.不变地
serial n.连续剧adj.连续的
shabby adj.破旧的；⾐衫褴褛的
gigantic adj.巨⼤的；庞⼤的
invert v.使反转；使颠倒
predict v.预⾔；预测
interview n.|v.会⻅；⾯试
overlook v.忽略；俯瞰
external adj.外部的n.外⾯
contrary adj.相反的n.相反⾯
exclaim v.呼喊；惊叫
prior adj.优先的；在前的
preference n.偏爱
bold adj.勇敢的；鲁莽的
mercy n.仁慈；恩惠
circular adj.圆形的；循环的
accustom v.使习惯
clarify v.阐明；澄清
permission n.许可
illusion n.幻想；错觉
agreeable adj.令⼈愉快的；同意的
schedule n.⽇程安排v.安排
abstract adj.抽象的n.摘要
scenario n.设想
stimulus n.刺激物
antibiotic adj.抗⽣的
hypothesis n.假说
prestige n.声望；威信
glimpse v.瞥⻅n.⼀瞥
detach v.脱离；拆卸
tenure n.保有；终身职位
resurrection n.复活
predator n.掠夺者
evolutionary adj.进化的
rationality n.合理性
retreat v.|n.撤退
leverage n.杠杆
alleviate v.减轻；缓和
warehouse n.仓库
democracy n.⺠主
intimidate v.威胁；恐吓
spectacle n.景象；场⾯
hostile adj.敌意的；敌对的
compatible adj.兼容的
reinforce v.增强
notably adv.显著地；尤其
inventive adj.有创造⼒的
subsidize v.补助；给...发津贴
pesticide n.杀⾍剂
justification n.辩护
exhaustion n.耗尽
hurricane n.飓⻛
inevitable adj.不可避免的
enrollment n.登记
retailer n.零售商
expedition n.探险
stigma n.耻辱；污名
controversial adj.有争议的
ancestry n.祖先
pledge n.|v.誓⾔；抵押
galactic adj.银河的
tenant n.租户
intensity n.强度；剧烈
enforce v.强制；执⾏
intensive adj.密集的
refuge n.避难所；庇护
fragment n.碎⽚；⽚段
ferry n.渡船v.摆渡
supervisor n.主管
fixture n.固定物
commodity n.商品
resentment n.怨恨；愤恨
ultimate adj.最后的n.最终
indulge v.放任；沉溺
surpass v.超过；胜任
millennium n.⼀千年
constraint n.约束
attendant n.服务员
supervision n.监督；管理
pyramid n.⾦字塔
robust adj.强壮的
irrational adj.不合理的
cholesterol n.胆固醇
obsession n.痴迷；困扰
straightforward adj.坦率的
demographic adj.⼈⼝的
carbohydrate n.碳⽔化合物
scooter n.滑板⻋；⼩摩托⻋
texture n.质地；构造
imminent adj.即将发⽣的
algorithm n.算法
interpret v.⼝译；解释
trigger n.触发；诱因
celebrity n.名⼈；名声
democrat n.⺠主主义者
speculate v.推测；思索
chronic adj.慢性的
dedication n.献身；奉献
pasta n.意⼤利⾯
endeavour n.|v.尽⼒
contradict v.反驳；相⽭盾
colonial adj.殖⺠地的
outsource v.外包
heritage n.遗产；传统
formulate v.规划
ridiculous adj.荒谬的
stunning adj.令⼈震惊的
manipulate v.操纵
indigenous adj.本地的；本⼟的
threshold n.⻔槛
standpoint n.⽴场；观点
revive v.复活；再⽣
sewage n.污⽔；下⽔道
demonstrate v.证明
imperative adj.急需的
passport n.护照
irritated adj.愤怒的
nominate v.提名；指派
outperform v.超过
irrelevant adj.⽆关紧要的
debris n.碎⽚；残骸
utterly adv.完全地；绝对
trillion n.兆；万亿
endorse v.签署；⽀持
mindset n.观念模式
memorandum n.备忘录
relentless adj.⽆情的；不懈的
extinction n.灭绝
dwell v.居住；沉湎于
conducive adj.有利于...的
multitude n.⼤量；群众
dedicate v.奉献；致⼒
fabric n.织物；布料；结构
magnitude n.重⼤
predominantly adv.主要地
privilege n.特权；荣幸
fertilizer v.施肥；使肥沃
devastating adj.毁灭性的
migration n.迁徙；移居
glamorous adj.迷⼈的
solitude n.孤独；独处
communal adj.社区的
inferior adj.较差的；次等的
plague n.瘟疫v.困扰
cumulative adj.累积的
withdraw v.撤回；撤退
satellite n.卫星
sentiment n.情绪；看法
strand n.海滨v.使滞留
substitute v.替代
prestigious adj.有声望的
prescription n.处⽅药
bizarre adj.奇怪的；奇特的
parliament n.议会
momentum n.动⼒
saturated adj.渗透的；充满的
legitimate adj.合理的v.使合法
handicapped adj.残疾的
masterpiece n.杰作
deliberate adj.故意的v.深思
testimony n.证明
gesture n.⼿势
ingenuity n.创造⼒
fluctuation n.波动；起伏
metropolitan adj.⼤城市的
satire n.讽刺；讽刺作品
tropical adj.热带的
monopoly n.垄断
simultaneously adv.同时地
resilient adj.有弹性的
intimacy n.亲密
mineral n.矿物质
repository n.仓库；存放处
underestimate v.|n.低估
monarch n.君王；帝王
milestone n.重要事件
burnout n.精疲⼒竭
poetry n.诗歌
thorough adj.彻底的
cricket n.板球；蟋蟀
deteriorate v.恶化；变坏
deposit n.存款；押⾦
sustain v.承受；维持
manifest adj.明显的v.表明
migrant n.移居者
immigration n.移⺠
intuitive adj.直觉的
adversely adv.不利地
craftsmanship n.技艺
subsistence n.⽣存
charming adj.迷⼈的
syndrome n.综合症
prolong v.拉⻓；延⻓
compensate v.补偿
spectacular adj.壮观的
delicate adj.脆弱的；精致的
hazardous adj.危险的
moderate adj.适度的v.节制
catastrophic adj.灾难性的
glamour n.魅⼒；魔⼒
presumably adv.⼤概
amateur adj.业余的n.业余爱好者
mentality n.智⼒；⼼理
submission n.屈从；提交
violation n.违反；妨碍
collision n.冲突；碰撞
payroll n.⼯资册
underlie v.构成...的基础
relocate v.重新安置
invisible adj.看不⻅的
tactic n.战略；策略
transparent adj.显然的
subtle adj.隐晦的
paralyzed adj.瘫痪的；麻⽊的
resilience n.适应⼒
tedious adj.冗⻓的；乏味的
fertility n.肥沃；繁殖⼒
transcend v.超越；超出
verify v.证实；核实
sanctuary n.避难所
municipal adj.市政的
descendant n.⼦孙后代
deplete v.耗尽
summit n.顶点；⾸脑会议
tsunami n.海啸
controversy n.争论
submit v.提交
available adj.可⽤的；有空的
tuition n.学费；教学
collaborative adj.合作的
indispensable adj.不可或缺的
groundless adj.⽆理由的
vocal adj.直⾔的
radical adj.激进的
potential adj.可能的；潜在的n.可能性；潜
chunk n.厚块；⼤块
enable v.使能够；使可能
diversity n.不同；差异
mutual adj.相互的
novel adj.新颖的；新奇的
variety n.各式各样
claim n.宣⾔；断⾔
resident n.居⺠
associate v.联系
academic adj.学术的
brand n.品牌
occur v.发⽣
implication n.暗指；暗示
stress n.紧张；重⾳v.强调
allergic adj.过敏的；对...极其反感的
bias n.偏⻅
political adj.政治的
burden n.负担；重担
virtually adv.⼏乎；实际上
reproductive adj.繁殖的；复制的
expectancy n.期待
avoid v.回避；避免
platform n.平台
convey v.表达；传递
fraud n.欺诈；骗⼦
apply v.应⽤；申请；适⽤；涂
complement v.补充
severe adj.艰难的；严厉的
preservation n.维护；保存
overwhelming adj.巨⼤的
attractive adj.迷⼈的
technique n.技能；技术
fade v.逐渐消失；变得脆弱
characteristic n.特征
commitment n.承诺；保证
campus n.校园；校区
reform n.改⾰；变⾰；改良
yield n.产量；产出
treatment n.疗法；治疗
assumption n.假定；设定
export n.出⼝v.出⼝
diet n.饮⻝；节⻝
promote v.促进；提升；推⼴
corporate adj.公司的
consult v.请教；查阅
award n.奖；薪⽔v.授予；奖励
survive v.⽣存；⽐...活得久
admit v.赞同；准许...进⼊
analysis n.分析
insight n.洞察⼒；眼光
association n.协会；联盟
inquiry n.调查
refuse v.拒绝
software n.软件
scholar n.学者
route n.路线；途径
command n.命令；指令
psychological adj.⼼理的
escape v.逃跑；逃脱；避开
impression n.印象
headline n.新闻提要
revolution n.⾰命；改⾰
undergo v.经历；经受
sector n.部⻔；⾏业；领域
affordable adj.价格合理的
advertising n.⼴告；⼴告业；⼴告活动
accessible adj.可进⼊的
legacy n.遗产；遗赠
funding n.政府或机构的资⾦
carbon n.碳
though conj.虽然；尽管
essential adj.基本的；本质的
due adj.由于；因为
intelligence n.才智；智慧
frequent adj.频繁的
general adj.常规的；⾸席的
engage v.参加；雇⽤
depend v.依靠；信赖
elderly adj.年纪较⼤的n.⽼⼈
description n.描述；形容
security n.安全；保证
instrument n.器械；仪器
defend v.辩护；保卫
moral adj.道德的
bond n.纽带；关系
fame n.名声；声誉
nevertheless adv.不过
recognition n.承认；认出
territory n.领⼟；版图
draft n.草稿
wage n.⼯资
regard v.将...认为
throughout prep.遍及；贯穿
ensure v.保证；确保
appropriate adj.合适的
adopt v.采⽤；采取
motivation n.动⼒；动机
adapt v.使适⽤
assess v.评估
refer v.提到；涉及
estimate v.估计；估价
cognitive adj.认知的
commit v.忠于；承诺
track v.追踪；跟踪
wonder v.琢磨；惊叹
psychologist n.⼼理学家
deserve v.值得；应得
suffer v.遭受；承受
rational adj.合理的
launch v.发起；发射
extent n.程度；限度
authentic adj.真正的；真实的
fundamental adj.基础的
adverse adj.不利的；有害的
diverse adj.不同的
fuel n.燃料
sake n.⽬的；理由
account n.账户；账⽬
invest v.投资
campaign n.运动
interaction n.交流
stock n.股票
vary v.呈现差异
extend v.伸出；伸开
phenomenon n.现象
ignore v.忽视；不予理睬
foundation n.基⾦会；基础
oppose v.反对；阻⽌
vision n.幻觉；视⼒
enhance v.提⾼；增加
shortly adv.不久；⽴刻
limited adj.有限的
switch v.转换；交换
prospect n.展望；前景
recently adv.不久前；最近
deal adj.理想的；空想的n.理想
navigate v.导航；航⾏
autonomy n.⾃治；⾃治权
prey n.猎物
critic n.批评者；反对者；评论家
digital adj.数字的；数码的
worldwide adj.世界各地的
victim n.受害者；罹难者
historic adj.历史上著名的
intend v.打算；意指
material n.材料；原料
instruction n.指示；指导
destruction n.摧毁；毁灭
multiple adj.多种多样的
foster v.促进；培养
facilitate v.促进；使便利
reference n.参考；查阅
delay n.延期；延误
regulation n.章程；规章制度
examine v.审查；检验
practical adj.有⽤的；实际的
guideline n.准则；指导原则
urban adj.城市的；都市的
suppose v.料想；假定
awareness n.认识；意识
crop n.庄稼；作物
exposure n.接触；体验
regular adj.规则的
creative adj.创造性的
perception n.感觉；感知
reject v.拒绝；拒绝接受
confident adj.⾃信的
strengthen v.加强；增强
equal adj.同样的；相等的
protest n.抗议
assume v.假定；假设
domestic adj.本国的；国内的
integrate v.成为⼀体
strike v.罢⼯
argue v.论证；争吵；争论
contemporary adj.现代的
longevity n.持久；⻓寿
budget n.预算
billion n.⼗亿
requirement n.要求
devote v.专⼼于
indicate v.表明；显示
capacity n.容量；能⼒
vital adj.极其重要的
integrity n.完整；完好
cultivate v.耕作；培养
equality n.均等；平等
update v.使现代化；更新
creation n.创作；创建
exact adj.准确的；确切的
publish v.发布；出版
confront v.正视；直⾯
suspension n.暂停；延缓
rather adv.相当；⽽不是
reduction n.减少；缩⼩
beforehand adv.预先；事先
lifespan n.寿命
medium adj.中间的n.媒介
increasingly adv.越来越多地
initiative n.倡议；主动权
executive adj.⾏政的n.主管；⾏政部⻔
statistics n.统计学；统计数字
frame n.模式；框架
forum n.论坛；讨论会
emerge v.浮现；显露
vulnerable adj.脆弱的
resemble v.像；与...相似
fellow adj.同类的；同伴的
nut n.坚果
signal v.标志；表明；预示n.信号
trick n.花招；把戏；恶作剧
credit n.信⽤；借款；贷款
tear n.眼泪；泪⽔
deliver v.传达；递送
origin n.起源；起因
electronic adj.电⼦的
maintenance n.维护；保养
genius n.天赋；天才
review n.回顾；书评
surround v.围绕；环绕
criticism n.批评；指责
naturally adv.⾃然地
assert v.维护；维持
handful n.少数；⼀把
facility n.设施；设备
northern adj.北⽅的
blame v.责怪
division n.分开；差异
adventure n.冒险
norm n.标准；社会准则
jam n.堵塞；拥挤；果酱
stain n.污渍v.玷污
optimism n.乐观；乐观主义
intense adj.激烈的；严肃紧张的
hardship n.艰难；艰苦
rarely adv.罕有；很少
influential adj.有影响⼒的
ambitious adj.有野⼼的
misunderstand v.误解
discourse n.语篇；⾔语
sustainable adj.可持续的
cooperate v.合作；协作
autonomous adj.⾃治的；有⾃治权的
facial adj.⾯部的
approximately adv.⼤概地
conservation n.保护；保持
wildlife n.野⽣动物
extensive adj.⼴阔的；⼤量的
evolve v.进化；演变
military adj军事的；军⽤的
legal adj.法律的；合法的
absence n.缺席；缺乏
progress n.进步；进展
drug n.药；药物；毒品
marine adj.海洋的；海产的
confirm v.证实；确认
expansion n.扩张；扩展
belong v.属于；归属
cancer n.癌；癌症
guard v.|n.保卫；看守
harmful adj.有害的
shame n.羞愧；让⼈遗憾的事
council n.委员会；地⽅议会
persuade v.劝说；说服
fiction n.⼩说；虚构的事
corporation n.法⼈；公司
superior adj.更好的
release v.发布；释放；解雇
landscape n.⻛景
burst v.|n.爆裂
extension n.延⻓期；扩⼤
adolescent n.⻘少年
transport n.运输业；交通
accuracy n.准确性；精确度
stability n.稳定
phase n.阶段；时期
apparently adv.看来；显然
citizen n.公⺠
latter adj.后者的n.后者
distribution n.分布；分配
operation n.运作；操作；⼿术；企业
arouse v.引起；唤醒
discipline n.纪律；学科
detailed adj.详细的
revolutionary adj.⾰命的
applicant n.申请⼈
